condition,family,severity,map_size,query_count,top1_identity_stability,positive_rank_drift_mean,positive_rank_drift_median,positive_rank_absolute_drift_mean,positive_rank_absolute_drift_median,rank_improved_fraction,rank_worsened_fraction,rank_unchanged_fraction,clean_margin_mean,corrupted_margin_mean,margin_drift_mean,descriptive_R@1,descriptive_R@5,descriptive_R@10,descriptive_mAP,accuracy_degradation_claim_allowed
brightness_mild,brightness,1,1300,2331,0.17074217074217074,77.12355212355213,36.0,341.24882024882027,218.0,0.441012441012441,0.558987558987559,0.0,0.01604784127917729,0.01305525191128254,-0.002992589702707412,0.000429000429000429,0.001287001287001287,0.003003003003003003,0.002857366012701419,False
brightness_mild,brightness,1,1400,2331,0.14328614328614328,43.421707421707424,12.0,370.8082368082368,238.0,0.477048477048477,0.5203775203775204,0.002574002574002574,0.01314678675115922,0.011195177212357521,-0.0019516095955360638,0.0,0.002145002145002145,0.004719004719004719,0.002982022711312206,False
brightness_mild,brightness,1,1500,2331,0.16945516945516945,36.57271557271557,11.0,394.1093951093951,252.0,0.48090948090948094,0.5178035178035179,0.001287001287001287,0.016905961362449207,0.013658064417541027,-0.003247896702388748,0.0,0.000858000858000858,0.003861003861003861,0.0028859826984907926,False
brightness_mild,brightness,1,1600,2331,0.13213213213213212,22.665379665379664,-9.0,386.2029172029172,258.0,0.5160875160875161,0.4826254826254826,0.001287001287001287,0.015886598435665603,0.010858357883989811,-0.005028239974343692,0.001287001287001287,0.002145002145002145,0.003861003861003861,0.003961346998516853,False
brightness_mild,brightness,1,1700,2331,0.15143715143715145,21.013728013728013,-18.0,406.32646932646935,277.0,0.5242385242385242,0.4731874731874732,0.002574002574002574,0.014802112648002227,0.01164855808019638,-0.003153554615750382,0.0,0.001716001716001716,0.003432003432003432,0.003141123220168545,False
brightness_mild,brightness,1,1800,2331,0.1788931788931789,38.34277134277134,-26.0,366.0973830973831,231.0,0.5383955383955384,0.4603174603174603,0.001287001287001287,0.01774312410398143,0.012791503220796585,-0.004951621073364832,0.000858000858000858,0.001716001716001716,0.003003003003003003,0.0033606440975856074,False
brightness_strong,brightness,2,700,2331,0.019734019734019732,150.65465465465465,114.0,566.3697983697983,439.0,0.4157014157014157,0.5821535821535821,0.002145002145002145,0.01665912632495224,0.012972773984074593,-0.0036863526948681235,0.001287001287001287,0.00429000429000429,0.006006006006006006,0.0049738919989389405,False
brightness_strong,brightness,2,800,2331,0.029601029601029602,120.54096954096954,74.0,546.4714714714714,424.0,0.4444444444444444,0.5546975546975547,0.000858000858000858,0.017085216661370965,0.013886594213545322,-0.003198622813402715,0.000429000429000429,0.002145002145002145,0.003432003432003432,0.0035933338926811536,False
brightness_strong,brightness,2,900,2331,0.024882024882024883,103.34448734448735,85.0,551.013299013299,414.0,0.435006435006435,0.5645645645645646,0.000429000429000429,0.017023764438815255,0.017353223636746407,0.0003294593553490376,0.0,0.001287001287001287,0.002145002145002145,0.0026982152508113347,False
brightness_strong,brightness,2,1000,2331,0.03303303303303303,90.51994851994851,45.0,521.4774774774775,375.0,0.4646074646074646,0.5345345345345346,0.000858000858000858,0.022273948185180966,0.027712412178516388,0.005438463926213073,0.000858000858000858,0.002574002574002574,0.004719004719004719,0.00373264397595917,False
brightness_strong,brightness,2,1100,2331,0.07593307593307594,91.56499356499357,44.0,525.3213213213213,397.0,0.46074646074646075,0.5392535392535392,0.0,0.02192923101564167,0.031050119549036026,0.009120888586133342,0.0,0.001287001287001287,0.003432003432003432,0.00308838977014925,False
brightness_strong,brightness,2,1200,2331,0.02531102531102531,43.67782067782068,29.0,545.1913341913341,392.0,0.4779064779064779,0.5208065208065208,0.001287001287001287,0.015487217266433746,0.02102513611316681,0.005537917574604758,0.000429000429000429,0.001716001716001716,0.005577005577005577,0.003482931340091622,False
brightness_strong,brightness,2,1300,2331,0.006006006006006006,23.939081939081937,36.0,578.4839124839125,456.0,0.47361647361647363,0.525954525954526,0.000429000429000429,0.01604784127917729,0.011124609038233757,-0.004923232328042768,0.000858000858000858,0.002574002574002574,0.003003003003003003,0.003982626411718749,False
brightness_strong,brightness,2,1400,2331,0.009438009438009438,-18.86829686829687,-21.0,610.1527241527242,497.0,0.5143715143715144,0.4851994851994852,0.000429000429000429,0.01314678675115922,0.007813961245119572,-0.005332824781677645,0.000429000429000429,0.002574002574002574,0.00429000429000429,0.003741650741171392,False
brightness_strong,brightness,2,1500,2331,0.015873015873015872,16.735735735735737,1.0,618.6353496353496,486.0,0.4984984984984985,0.5010725010725011,0.000429000429000429,0.016905961362449207,0.009230177849531174,-0.007675783885287252,0.000429000429000429,0.003432003432003432,0.005577005577005577,0.0041255342337693165,False
